ID Number,Name,Year Level,Gender,Course Code,Enrollment Status
2024-0027,Ramon M. Marquez,3,Man,BSIT,Enrolled
2024-0028,Jennifer D. De Guzman,4,Woman,BSCA,Enrolled
2024-0029,Jose M. Mendoza,1,Man,BSBio,Enrolled
2024-0030,Maria Theresa R. Ramirez,2,Woman,BSPsych,Enrolled
2024-0031,Francisco S. Santos,3,Man,BSNursing,Enrolled
2024-0032,Carla M. Mendoza,4,Woman,BSCS,Enrolled
2024-0033,Lorenzo R. Reyes,1,Man,BSIT,Enrolled
2024-0034,Victoria L. Lim,2,Woman,BSCA,Enrolled
2024-0035,Roberto P. Perez,3,Man,BSBio,Enrolled
2024-0036,Ana Maria D. Dela Cruz,4,Woman,BSPsych,Enrolled
2024-0037,Juan C. Cruz,1,Man,BSNursing,Enrolled
2024-0038,Maricel A. Aquino,2,Woman,BSCS,Enrolled
2024-0039,Rodrigo R. Reyes,3,Man,BSIT,Enrolled
2024-0040,Amelia M. Martinez,4,Woman,BSCA,Enrolled
2024-0041,Edgardo G. Gomez,1,Man,BSBio,Enrolled
2024-0042,Analyn S. Santos,2,Woman,BSPsych,Enrolled
2024-0043,Roberto D. Diaz,3,Man,BSNursing,Enrolled
2024-0044,Ma. Teresa L. Lim,1,Woman,BSCS,Enrolled
2024-0045,Arturo R. Reyes,2,Man,BSIT,Enrolled
2024-0046,Leilani C. Cruz,3,Woman,BSCA,Enrolled
2024-0047,Arnold T. Tan,4,Man,BSBio,Enrolled
2024-0048,Regina P. Perez,1,Woman,BSPsych,Enrolled
2024-0049,Ramoncito D. Dela Cruz,2,Man,BSNursing,Enrolled
2024-0050,Graciela S. Santos,3,Woman,BSCS,Enrolled
2024-0052,Maria Cecilia R. Ramos,2,Woman,,Not Enrolled
2024-0053,Roberto S. Sanchez,3,Man,,Not Enrolled
2024-0054,Monica G. Gomez,4,Woman,,Not Enrolled
2024-0055,Rogelio D. Dela Cruz,1,Man,,Not Enrolled
2024-0056,Elena M. Marquez,2,Woman,,Not Enrolled
2024-0057,Rolando L. Lim,3,Man,,Not Enrolled
2024-0058,Patricia S. Santiago,4,Woman,,Not Enrolled
2024-0059,Alberto M. Martinez,1,Man,,Not Enrolled
2024-0060,Lucia R. Reyes,2,Woman,,Not Enrolled
2024-0061,Marlon S. Santos,3,Man,,Not Enrolled
2024-0062,Maria Cristina D. Dela Cruz,4,Woman,,Not Enrolled
2024-0063,Rodrigo M. Cruz,1,Man,,Not Enrolled
2024-0064,Marites G. Gomez,2,Woman,,Not Enrolled
2024-0065,Jorge P. Perez,3,Man,,Not Enrolled
2024-0066,Joy M. Lim,4,Woman,,Not Enrolled
2024-0067,Romulo R. Santiago,1,Man,,Not Enrolled
2024-0068,Regina M. Martinez,2,Woman,,Not Enrolled
2024-0069,Edgardo D. Reyes,3,Man,,Not Enrolled
2024-0070,Clarita S. Santos,4,Woman,,Not Enrolled
2024-0071,Ricardo M. Dela Cruz,1,Man,,Not Enrolled
2024-0072,Lea G. Marquez,2,Woman,,Not Enrolled
2024-0073,Arnold R. Lim,3,Man,,Not Enrolled
2024-0074,Lucila S. Santiago,4,Woman,,Not Enrolled
2024-0075,Angelito M. Martinez,1,Man,,Not Enrolled
2024-0076,Ma. Theresa R. Reyes,2,Woman,,Not Enrolled
2024-0077,Carlos S. Santos,3,Man,,Not Enrolled
2024-0078,Anna Marie D. Dela Cruz,4,Woman,,Not Enrolled
2024-0079,Romeo M. Cruz,1,Man,,Not Enrolled
2024-0080,Melissa G. Gomez,2,Woman,,Not Enrolled
2024-0081,Lorenzo P. Perez,3,Man,,Not Enrolled
2024-0082,Gemma L. Lim,4,Woman,,Not Enrolled
2024-0083,Carlos R. Santiago,1,Man,,Not Enrolled
2024-0084,Rosemarie M. Martinez,2,Woman,,Not Enrolled
2024-0085,Josef D. Reyes,3,Man,,Not Enrolled
2024-0086,Ma. Luisa S. Santos,4,Woman,,Not Enrolled
2024-0087,Francis R. Dela Cruz,1,Man,,Not Enrolled
2024-0088,Joyce G. Marquez,2,Woman,,Not Enrolled
2024-0089,Alberto L. Lim,3,Man,,Not Enrolled
2024-0090,Flor D. Santiago,4,Woman,,Not Enrolled
2024-0091,Miguel R. Martinez,1,Man,,Not Enrolled
2024-0092,Mercedes M. Reyes,2,Woman,,Not Enrolled
2024-0093,Lorenzo S. Santos,3,Man,,Not Enrolled
2024-0094,Marilou D. Dela Cruz,4,Woman,,Not Enrolled
2024-0095,Manuel P. Cruz,1,Man,,Not Enrolled
2024-0096,Lorna G. Marquez,2,Woman,,Not Enrolled
2024-0097,Jesus R. Lim,3,Man,,Not Enrolled
2024-0098,Myrna S. Santiago,4,Woman,,Not Enrolled
2024-0099,Ramon M. Martinez,1,Man,,Not Enrolled
2024-0100,Elena R. Reyes,2,Woman,,Not Enrolled
